x1,condition,binchoice,bincorrect,binrt,x2,xavg,estim,estrt,trial,block,session,subj
10,0,0,NaN,1.499,-10,0,-20.13172,1.467,62,2,3,1
0,1,-1,0,1.642,10,5,-11.47118,0.967,63,2,3,1
20,0,0,NaN,1.106,0,10,-13.80597,1.217,64,2,3,1
-10,1,-1,1,0.82,10,0,-10.34791,1.117,65,2,3,1
0,0,0,NaN,1.358,-10,-5,-11.76314,0.917,66,2,3,1
0,0,0,NaN,1.664,-20,-10,-13.09542,0.901,68,2,3,1
-10,-1,-1,1,0.764,NaN,NaN,NaN,NaN,69,2,3,1
-10,1,-1,1,1.194,-20,-15,-8.55019999999999,0.934,1,3,3,1
-10,-1,-1,1,0.716,NaN,NaN,NaN,NaN,2,3,3,1
20,-1,1,1,0.942,NaN,NaN,NaN,NaN,3,3,3,1
20,0,0,NaN,1.165,0,10,8.95391,1.017,4,3,3,1
0,-1,-1,0,1.391,NaN,NaN,NaN,NaN,5,3,3,1
20,-1,-1,0,1.279,NaN,NaN,NaN,NaN,6,3,3,1
0,-1,-1,0,1.3,NaN,NaN,NaN,NaN,7,3,3,1
0,1,-1,0,1.359,10,5,-10.03825,0.851,8,3,3,1
10,0,0,NaN,1.342,0,5,-13.40886,1.351,9,3,3,1
0,0,0,NaN,1.192,0,0,-12.4585,0.984,10,3,3,1
0,1,-1,0,0.969,20,10,-11.047105,0.901,11,3,3,1
0,1,-1,0,0.76,-20,-10,-9.65675,0.984,12,3,3,1
-20,-1,-1,1,0.834,NaN,NaN,NaN,NaN,13,3,3,1
20,-1,-1,0,0.619,NaN,NaN,NaN,NaN,14,3,3,1
20,1,1,1,0.919,0,10,10.46786,0.934,15,3,3,1
-10,0,0,NaN,1.112,10,0,-10.90386,0.784,17,3,3,1
-10,-1,1,0,1.307,NaN,NaN,NaN,NaN,18,3,3,1
20,0,0,NaN,1.159,0,10,0.0724000000000018,0.784,19,3,3,1
-20,-1,-1,1,1.043,NaN,NaN,NaN,NaN,20,3,3,1
10,-1,1,1,1.161,NaN,NaN,NaN,NaN,21,3,3,1
20,1,1,1,1.157,10,15,15.36854,1.051,22,3,3,1
0,-1,1,0,1.039,NaN,NaN,NaN,NaN,23,3,3,1
0,0,0,NaN,1.115,10,5,-10.388319,0.917,24,3,3,1
0,0,0,NaN,1.398,-20,-10,-10.94324,0.951,26,3,3,1
10,1,-1,0,1.085,-10,0,-18.17409,0.967,27,3,3,1
0,-1,-1,0,0.861,NaN,NaN,NaN,NaN,28,3,3,1
