x1,condition,binchoice,bincorrect,x2,xavg,estim,subj,x1_relative,x2_relative
53,-1,-1,0,53,53,NaN,2,3,3
55.875,-1,1,1,37.5,46.6875,NaN,2,5.875,-12.5
53.75,-1,1,1,45.375,49.5625,NaN,2,3.75,-4.625
55.25,-1,1,1,62.875,59.0625,NaN,2,5.25,12.875
51.75,-1,-1,0,38.625,45.1875,NaN,2,1.75,-11.375
52.75,-1,1,1,57.375,55.0625,NaN,2,2.75,7.375
47.375,-1,1,0,40.375,43.875,NaN,2,-2.625,-9.625
52.125,-1,1,1,53,52.5625,NaN,2,2.125,3
44.5,-1,-1,1,58.5,51.5,NaN,2,-5.5,8.5
52.125,-1,1,1,57.5,54.8125,NaN,2,2.125,7.5
54.625,-1,1,1,47.375,51,NaN,2,4.625,-2.625
48.625,-1,-1,1,44.75,46.6875,NaN,2,-1.375,-5.25
48.25,-1,1,0,45.5,46.875,NaN,2,-1.75,-4.5
47.25,-1,1,0,48.75,48,NaN,2,-2.75,-1.25
47,-1,1,0,54.625,50.8125,NaN,2,-3,4.625
48.5,-1,1,0,58.125,53.3125,NaN,2,-1.5,8.125
45.625,-1,-1,1,53.5,49.5625,NaN,2,-4.375,3.5
50.625,-1,-1,0,48.5,49.5625,NaN,2,0.625,-1.5
54.25,-1,1,1,44.5,49.375,NaN,2,4.25,-5.5
54.25,-1,1,1,45,49.625,NaN,2,4.25,-5
46.875,-1,1,0,51.75,49.3125,NaN,2,-3.125,1.75
48.25,-1,1,0,37.75,43,NaN,2,-1.75,-12.25
54.625,-1,1,1,42.375,48.5,NaN,2,4.625,-7.625
48.5,-1,-1,1,44.5,46.5,NaN,2,-1.5,-5.5
47,-1,1,0,62,54.5,NaN,2,-3,12
48.625,-1,1,0,62.375,55.5,NaN,2,-1.375,12.375
52.25,-1,-1,0,42.75,47.5,NaN,2,2.25,-7.25
54.125,-1,1,1,62.75,58.4375,NaN,2,4.125,12.75
52.625,-1,1,1,60,56.3125,NaN,2,2.625,10
50.875,-1,1,1,45.375,48.125,NaN,2,0.875,-4.625
45.5,-1,1,0,51.875,48.6875,NaN,2,-4.5,1.875
47.625,-1,1,0,57.625,52.625,NaN,2,-2.375,7.625
45,-1,1,0,47.375,46.1875,NaN,2,-5,-2.625
44.875,-1,-1,1,40.125,42.5,NaN,2,-5.125,-9.875
52.25,-1,1,1,52.125,52.1875,NaN,2,2.25,2.125
51.875,-1,1,1,39.125,45.5,NaN,2,1.875,-10.875
53.25,-1,1,1,53.125,53.1875,NaN,2,3.25,3.125
44.125,-1,-1,1,59.375,51.75,NaN,2,-5.875,9.375
47.375,-1,1,0,38.75,43.0625,NaN,2,-2.625,-11.25
44.75,-1,-1,1,52.25,48.5,NaN,2,-5.25,2.25
45.625,-1,-1,1,55.5,50.5625,NaN,2,-4.375,5.5
55.125,-1,1,1,61.75,58.4375,NaN,2,5.125,11.75
45.125,-1,1,0,53.5,49.3125,NaN,2,-4.875,3.5
48.625,-1,1,0,60.5,54.5625,NaN,2,-1.375,10.5
53.875,-1,1,1,59.125,56.5,NaN,2,3.875,9.125
54.625,-1,1,1,41.875,48.25,NaN,2,4.625,-8.125
52.75,-1,1,1,37.625,45.1875,NaN,2,2.75,-12.375
45.75,-1,-1,1,51.625,48.6875,NaN,2,-4.25,1.625
51.75,-1,1,1,44.5,48.125,NaN,2,1.75,-5.5
53,-1,1,1,42.125,47.5625,NaN,2,3,-7.875
46,-1,-1,1,52.625,49.3125,NaN,2,-4,2.625
53.5,-1,1,1,54.625,54.0625,NaN,2,3.5,4.625
45.875,-1,1,0,45.375,45.625,NaN,2,-4.125,-4.625
54.25,-1,1,1,45.25,49.75,NaN,2,4.25,-4.75
51,-1,-1,0,53.5,52.25,NaN,2,1,3.5
53,-1,1,1,52.75,52.875,NaN,2,3,2.75
44.875,-1,1,0,57.125,51,NaN,2,-5.125,7.125
45.125,-1,-1,1,59.875,52.5,NaN,2,-4.875,9.875
47.125,-1,-1,1,59.25,53.1875,NaN,2,-2.875,9.25
51,-1,-1,0,54.625,52.8125,NaN,2,1,4.625
46.875,-1,1,0,54.5,50.6875,NaN,2,-3.125,4.5
53.125,-1,1,1,58.5,55.8125,NaN,2,3.125,8.5
50.5,-1,1,1,46.125,48.3125,NaN,2,0.5,-3.875
53.25,-1,1,1,44.375,48.8125,NaN,2,3.25,-5.625
55.625,-1,1,1,57.25,56.4375,NaN,2,5.625,7.25
48.75,1,-1,1,44.375,46.5625,44,2,-1.25,-5.625
48.375,1,-1,1,47.875,48.125,57,2,-1.625,-2.125
45.375,1,-1,1,41.625,43.5,38,2,-4.625,-8.375
47.5,1,-1,1,38.625,43.0625,33,2,-2.5,-11.375
47.75,1,1,0,57.5,52.625,66,2,-2.25,7.5
46.625,1,1,0,38.375,42.5,40,2,-3.375,-11.625
47.25,1,-1,1,41.375,44.3125,36,2,-2.75,-8.625
52.25,1,1,1,39.25,45.75,55,2,2.25,-10.75
54.75,1,1,1,47.25,51,55,2,4.75,-2.75
53.25,1,-1,0,58.75,56,47,2,3.25,8.75
44.25,1,1,0,48.25,46.25,54,2,-5.75,-1.75
53.375,1,1,1,42,47.6875,62,2,3.375,-8
54.625,1,1,1,58,56.3125,68,2,4.625,8
51.125,1,-1,0,54.625,52.875,46,2,1.125,4.625
47.25,1,-1,1,54,50.625,50,2,-2.75,4
51.25,1,1,1,58.875,55.0625,64,2,1.25,8.875
45.5,1,-1,1,59.25,52.375,54,2,-4.5,9.25
51.75,1,1,1,45.5,48.625,47,2,1.75,-4.5
53.75,1,1,1,53.125,53.4375,51,2,3.75,3.125
46.375,1,1,0,46.875,46.625,54,2,-3.625,-3.125
55.25,1,1,1,55.625,55.4375,59,2,5.25,5.625
47.5,1,1,0,51.375,49.4375,48,2,-2.5,1.375
51.125,1,-1,0,57.625,54.375,53,2,1.125,7.625
53.625,1,1,1,46.625,50.125,48,2,3.625,-3.375
55.375,1,1,1,47.125,51.25,55,2,5.375,-2.875
47.25,1,1,0,44.75,46,46,2,-2.75,-5.25
52.875,1,1,1,62.5,57.6875,73,2,2.875,12.5
45.5,1,1,0,40.5,43,42,2,-4.5,-9.5
44.375,1,1,0,37.625,41,57,2,-5.625,-12.375
54.125,1,1,1,53.5,53.8125,54,2,4.125,3.5
46.875,1,-1,1,61.5,54.1875,55,2,-3.125,11.5
48.625,1,-1,1,38.125,43.375,43,2,-1.375,-11.875
48,1,1,0,52.25,50.125,52,2,-2,2.25
54.375,1,1,1,54.375,54.375,58,2,4.375,4.375
47.625,1,1,0,59.375,53.5,56,2,-2.375,9.375
51.75,1,1,1,55,53.375,57,2,1.75,5
44.625,1,-1,1,46.125,45.375,34,2,-5.375,-3.875
46,1,-1,1,60.625,53.3125,58,2,-4,10.625
54.25,1,1,1,53.75,54,62,2,4.25,3.75
54.625,1,1,1,50.875,52.75,46,2,4.625,0.875
50.75,1,1,1,48.25,49.5,53,2,0.75,-1.75
47.25,1,-1,1,59.125,53.1875,54,2,-2.75,9.125
45.25,1,-1,1,46.875,46.0625,46,2,-4.75,-3.125
45.5,1,-1,1,57.125,51.3125,56,2,-4.5,7.125
51.25,1,-1,0,58.125,54.6875,48,2,1.25,8.125
45.75,1,1,0,50.375,48.0625,60,2,-4.25,0.375
54,1,1,1,39.5,46.75,39,2,4,-10.5
54.125,1,1,1,51.25,52.6875,51,2,4.125,1.25
46.125,1,-1,1,59.75,52.9375,50,2,-3.875,9.75
52.125,1,1,1,55.25,53.6875,46,2,2.125,5.25
48.125,1,1,0,57.125,52.625,58,2,-1.875,7.125
55,1,1,1,41.25,48.125,39,2,5,-8.75
48.375,1,1,0,45,46.6875,55,2,-1.625,-5
44.375,1,1,0,50.125,47.25,62,2,-5.625,0.125
48.25,1,1,0,44.625,46.4375,48,2,-1.75,-5.375
47.25,1,-1,1,59.875,53.5625,53,2,-2.75,9.875
47.25,1,-1,1,46.375,46.8125,38,2,-2.75,-3.625
46.625,1,-1,1,45.25,45.9375,46,2,-3.375,-4.75
47.875,1,1,0,47.625,47.75,39,2,-2.125,-2.375
46.625,1,1,0,44.125,45.375,40,2,-3.375,-5.875
53.875,1,1,1,50.625,52.25,57,2,3.875,0.625
54,1,1,1,60.75,57.375,64,2,4,10.75
45.5,1,-1,1,58.25,51.875,58,2,-4.5,8.25
