x1,condition,binchoice,bincorrect,x2,xavg,estim,subj
45,0,NaN,0,42.875,43.9375,53,1
46.125,0,NaN,0,44.125,45.125,38,1
47.25,1,-1,1,59.875,53.5625,53,1
47.25,1,1,0,46.375,46.8125,53,1
54.125,-1,-1,0,62.75,58.4375,NaN,1
52.625,-1,1,1,60,56.3125,NaN,1
50.875,-1,1,1,45.375,48.125,NaN,1
45.5,-1,1,0,51.875,48.6875,NaN,1
46.625,1,-1,1,45.25,45.9375,57,1
50.375,0,NaN,0,47.25,48.8125,50,1
47.875,1,-1,1,47.625,47.75,50,1
46.625,1,1,0,44.125,45.375,56,1
47.625,-1,1,0,57.625,52.625,NaN,1
45,-1,-1,1,47.375,46.1875,NaN,1
44.875,-1,1,0,40.125,42.5,NaN,1
47.5,0,NaN,0,38.5,43,54,1
44.625,0,NaN,0,57.25,50.9375,58,1
53.875,1,1,1,50.625,52.25,55,1
52.25,-1,1,1,52.125,52.1875,NaN,1
55.125,0,NaN,0,45.25,50.1875,54,1
53.625,0,NaN,0,46.625,50.125,51,1
51.875,-1,1,1,39.125,45.5,NaN,1
53.25,-1,1,1,53.125,53.1875,NaN,1
54.5,0,NaN,0,57.875,56.1875,62,1
44.125,-1,1,0,59.375,51.75,NaN,1
47.375,-1,1,0,38.75,43.0625,NaN,1
46.625,0,NaN,0,58.5,52.5625,48,1
44.75,-1,1,0,52.25,48.5,NaN,1
47,0,NaN,0,46.125,46.5625,48,1
54,1,1,1,60.75,57.375,58,1
53.5,0,NaN,0,48,50.75,49,1
45.625,-1,-1,1,55.5,50.5625,NaN,1
55.125,-1,-1,0,61.75,58.4375,NaN,1
47.375,0,NaN,0,37.5,42.4375,46,1
45.5,1,1,0,58.25,51.875,58,1
45.5,0,NaN,0,53.25,49.375,57,1
53.875,1,1,1,59.625,56.75,52,1
51.75,1,1,1,48.25,50,54,1
48.25,1,1,0,60.5,54.375,59,1
45.125,-1,1,0,53.5,49.3125,NaN,1
48.625,-1,1,0,60.5,54.5625,NaN,1
53.875,-1,1,1,59.125,56.5,NaN,1
52.875,0,NaN,0,41,46.9375,56,1
46.25,0,NaN,0,54.875,50.5625,56,1
50.375,1,1,1,48,49.1875,48,1
54.625,-1,1,1,41.875,48.25,NaN,1
44.875,1,1,0,54,49.4375,52,1
51.125,0,NaN,0,46.5,48.8125,55,1
52.75,-1,1,1,37.625,45.1875,NaN,1
45.75,-1,-1,1,51.625,48.6875,NaN,1
51.75,-1,1,1,44.5,48.125,NaN,1
46,0,NaN,0,62,54,57,1
53,-1,-1,0,42.125,47.5625,NaN,1
46.875,0,NaN,0,60,53.4375,59,1
46,-1,-1,1,52.625,49.3125,NaN,1
54.5,0,NaN,0,42.375,48.4375,46,1
52.875,0,NaN,0,55.25,54.0625,47,1
53.875,0,NaN,0,41.125,47.5,52,1
53.5,-1,1,1,54.625,54.0625,NaN,1
52.125,1,1,1,54,53.0625,54,1
51.5,0,NaN,0,61.25,56.375,61,1
45.875,-1,1,0,45.375,45.625,NaN,1
54.375,1,1,1,52,53.1875,49,1
46.625,0,NaN,0,54.75,50.6875,50,1
54.25,-1,1,1,45.25,49.75,NaN,1
48.125,1,1,0,57.25,52.6875,59,1
51,-1,-1,0,53.5,52.25,NaN,1
45.125,0,NaN,0,39,42.0625,49,1
47.75,0,NaN,0,44.25,46,47,1
55,1,1,1,61.125,58.0625,59,1
